INSTNM,CITY,STABBR,INSTURL,LOCALE,MENONLY,WOMENONLY,SATVR75,SATMT75,SATWR75,ACTCM75,SAT_AVG,GRAD_DEBT_MDN
Hendrix College,Conway,AR,www.hendrix.edu,13,0,0,660,660,NULL,31,1244,25500
Hot Springs Beauty College,Hot Springs,AR,hotspringsbeautycollege.com,13,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Jefferson Regional Medical Center School of Nursing,Pine Bluff,AR,www.jrmc.org,13,0,0,NULL,NULL,NULL,NULL,NULL,19557.5
John Brown University,Siloam Springs,AR,www.jbu.edu,32,0,0,NULL,NULL,NULL,NULL,NULL,23211
Lees School of Cosmetology,North  Little Rock,AR,www.leesschool.com,13,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Career Academy of Hair Design,Springdale,AR,www.beautynwa.com,13,0,0,NULL,NULL,NULL,NULL,NULL,6365
Academy of Salon and Spa,Fort Smith,AR,www.academysalonspa.com,13,0,0,NULL,NULL,NULL,NULL,NULL,9833
Arkansas State University Mid-South,West Memphis,AR,www.midsouthcc.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Arkansas Northeastern College,Blytheville,AR,www.anc.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Margaret's Hair Academy Inc,Monticello,AR,margarethairacademy.com,33,0,0,NULL,NULL,NULL,NULL,NULL,4428
New Tyler Barber College Inc,North Little Rock,AR,newtylerbarbercollege.com,13,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
North Arkansas College,Harrison,AR,www.northark.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,9467.5
Northwest Technical Institute,Springdale,AR,www.nwti.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Ouachita Baptist University,Arkadelphia,AR,www.obu.edu,32,0,0,580,590,NULL,28,1112,23250
College of the Ouachitas,Malvern,AR,www.coto.edu,31,0,0,NULL,NULL,NULL,NULL,NULL,9140
Ozarka College,Melbourne,AR,www.ozarka.edu,43,0,0,NULL,NULL,NULL,NULL,NULL,13577
University of the Ozarks,Clarksville,AR,www.ozarks.edu,33,0,0,540,560,490,26,1061,24200
University of Arkansas Community College-Morrilton,Morrilton,AR,www.uaccm.edu,32,0,0,510,480,490,22,930,8000.5
Philander Smith College,Little Rock,AR,www.philander.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,31000
Phillips Community College of the University of Arkansas,Helena,AR,www.pccua.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Southeast Arkansas College,Pine Bluff,AR,www.seark.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,6574
Professional Cosmetology Education Center,El Dorado,AR,www.pcec.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,9833
Pulaski Technical College,North Little Rock,AR,www.pulaskitech.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,20104
University of Arkansas Community College-Hope,Hope,AR,www.uacch.edu,32,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Rich Mountain Community College,Mena,AR,www.rmcc.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Paul Mitchell the School-Arkansas,Fayetteville,AR,www.pmtsarkansas.com,13,0,0,NULL,NULL,NULL,NULL,NULL,9833
Searcy Beauty College,Searcy,AR,searcybeautycollege.com/,32,0,0,NULL,NULL,NULL,NULL,NULL,8750
Shorter College,N Little Rock,AR,www.shortercollege.org/,13,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Williams Baptist College,Walnut Ridge,AR,www.wbcoll.edu,42,0,0,470,540,NULL,23,983,19000
South Arkansas Community College,El Dorado,AR,www.southark.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,9500
Southern Arkansas University Main Campus,Magnolia,AR,WWW.SAUMAG.EDU,33,0,0,540,540,NULL,24,989,17000
Southern Arkansas University Tech,Camden,AR,www.sautech.edu,42,0,0,NULL,NULL,NULL,NULL,NULL,5500
Velvatex College of Beauty Culture,Little Rock,AR,www.velvatexcollege.com,12,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
University of Arkansas-Fort Smith,Fort Smith,AR,uafs.edu/,13,0,0,NULL,NULL,NULL,NULL,NULL,15500
Academy of Art University,San Francisco,CA,www.academyart.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,35093
ITT Technical Institute-Rancho Cordova,Rancho Cordova,CA,www.itt-tech.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,25827.5
Academy of Chinese Culture and Health Sciences,Oakland,CA,www.acchs.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
The Academy of Radio and TV Broadcasting,Huntington Beach,CA,WWW.ARBRADIO.COM,21,0,0,NULL,NULL,NULL,NULL,NULL,9500
Avalon School of Cosmetology-Alameda,Alameda,CA,avalon.edu/locations/alameda-ca/,21,0,0,NULL,NULL,NULL,NULL,NULL,9860
College of Alameda,Alameda,CA,www.peralta.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Allan Hancock College,Santa Maria,CA,www.hancockcollege.edu/,13,0,0,NULL,NULL,NULL,NULL,NULL,10500
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,WWW.AADA.EDU,11,0,0,NULL,NULL,NULL,NULL,NULL,12000
American Baptist Seminary of the West,Berkeley,CA,www.absw.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
American Film Institute Conservatory,Los Angeles,CA,www.AFI.com,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
American Beauty College,West Covina,CA,www.american-beauty-college.com,21,0,0,NULL,NULL,NULL,NULL,NULL,4749
American Career College-Los Angeles,Los Angeles,CA,americancareercollege.edu/,11,0,0,NULL,NULL,NULL,NULL,NULL,9500
American Conservatory Theater,San Francisco,CA,www.act-sf.org,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
American River College,Sacramento,CA,www.arc.losrios.edu/,21,0,0,NULL,NULL,NULL,NULL,NULL,11410
Antelope Valley College,Lancaster,CA,www.avc.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,16476
Art Center College of Design,Pasadena,CA,www.artcenter.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,33721
Associated Technical College-Los Angeles,Los Angeles,CA,www.atcla.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,8963
Associated Technical College-San Diego,San Diego,CA,www.associatedtechcollege.com,11,0,0,NULL,NULL,NULL,NULL,NULL,9500
Azusa Pacific University,Azusa,CA,www.apu.edu,21,0,0,540,540,530,24,1037,22500
Bakersfield College,Bakersfield,CA,www.bakersfieldcollege.edu/,11,0,0,NULL,NULL,NULL,NULL,NULL,11398
Barstow Community College,Barstow,CA,www.barstow.edu,32,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Bellus Academy-National City,National City,CA,www.bellusacademy.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,15378
Bethesda University,Anaheim,CA,www.buc.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Biola University,La Mirada,CA,www.biola.edu,21,0,0,620,620,610,28,1122,24375
Brooks Institute,Ventura,CA,www.brooks.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,31000
Brownson Technical School,Anaheim,CA,www.brownson.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,9394
Bryan University,Los Angeles,CA,www.bryancollege.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,20000
Butte College,Oroville,CA,www.butte.edu,42,0,0,NULL,NULL,NULL,NULL,NULL,12898
Phillips Graduate Institute,Chatsworth,CA,pgi.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
California Institute of Integral Studies,San Francisco,CA,www.ciis.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,18750
Cabrillo College,Aptos,CA,www.cabrillo.edu,22,0,0,NULL,NULL,NULL,NULL,NULL,12000
California Baptist University,Riverside,CA,www.calbaptist.edu,11,0,0,550,550,530,24,976,27000
California College of the Arts,San Francisco,CA,www.cca.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,27000
University of California-Hastings College of Law,San Francisco,CA,www.uchastings.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
California Institute of Technology,Pasadena,CA,www.caltech.edu,12,0,0,800,800,790,35,1545,11812.5
California Lutheran University,Thousand Oaks,CA,www.callutheran.edu/,12,0,0,600,600,590,27,1109,23000
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,calpoly.edu,23,0,0,640,680,NULL,30,1234,19166
